S/K,ttm,V,vol_of_vol,beta,rho,call_payoff,digital_payoff,path
0.955807089805603,0.71,0.1936960224691703,0.1,1.0,0.7,0.0,0,0
0.9681912064552307,0.7,0.19468849047383835,0.1,1.0,0.7,0.0,0,0
1.0012507438659668,0.69,0.19530390177280624,0.1,1.0,0.7,0.0,0,0
1.0037815570831299,0.6799999999999999,0.196468475013841,0.1,1.0,0.7,0.0,0,0
1.0041735172271729,0.6699999999999999,0.1975440917513299,0.1,1.0,0.7,0.0,0,0
1.0216349363327026,0.6599999999999999,0.20170151360309171,0.1,1.0,0.7,0.0,0,0
1.0199121236801147,0.6499999999999999,0.20018868781959276,0.1,1.0,0.7,0.0,0,0
1.013228416442871,0.64,0.19696304522536212,0.1,1.0,0.7,0.0,0,0
0.9969283938407898,0.63,0.1948949301280454,0.1,1.0,0.7,0.0,0,0
0.9757006168365479,0.62,0.1935186857776113,0.1,1.0,0.7,0.0,0,0
0.9517053365707397,0.61,0.19163275494769913,0.1,1.0,0.7,0.0,0,0
0.9613746404647827,0.6,0.19180273351368501,0.1,1.0,0.7,0.0,0,0
0.9873308539390564,0.59,0.19421076042339455,0.1,1.0,0.7,0.0,0,0
1.015434741973877,0.5800000000000001,0.19721422097167085,0.1,1.0,0.7,0.0,0,0
1.0129865407943726,0.5700000000000001,0.19820139080436575,0.1,1.0,0.7,0.0,0,0
1.0464093685150146,0.56,0.20248106200337024,0.1,1.0,0.7,0.0,0,0
1.0428894758224487,0.55,0.20175067051451592,0.1,1.0,0.7,0.0,0,0
1.022131323814392,0.54,0.19847386722808114,0.1,1.0,0.7,0.0,0,0
1.049712061882019,0.53,0.20056516790520182,0.1,1.0,0.7,0.0,0,0
1.025977611541748,0.52,0.1969014356686715,0.1,1.0,0.7,0.0,0,0
1.0250955820083618,0.51,0.19541065098586968,0.1,1.0,0.7,0.0,0,0
1.0333553552627563,0.5,0.1964198321288404,0.1,1.0,0.7,0.0,0,0
1.0360915660858154,0.49,0.1962090268091835,0.1,1.0,0.7,0.0,0,0
1.0425392389297485,0.48,0.19582492625087985,0.1,1.0,0.7,0.0,0,0
1.0044200420379639,0.47,0.19351656698874367,0.1,1.0,0.7,0.0,0,0
0.999835729598999,0.45999999999999996,0.19348598916328724,0.1,1.0,0.7,0.0,0,0
1.0069286823272705,0.44999999999999996,0.19542794179461231,0.1,1.0,0.7,0.0,0,0
0.9982255697250366,0.43999999999999995,0.19545719547510682,0.1,1.0,0.7,0.0,0,0
0.9830528497695923,0.42999999999999994,0.19383148502290704,0.1,1.0,0.7,0.0,0,0
0.9867556691169739,0.42000000000000004,0.19141881249258066,0.1,1.0,0.7,0.0,0,0
0.9643721580505371,0.41000000000000003,0.18986585894037633,0.1,1.0,0.7,0.0,0,0
0.9820619821548462,0.4,0.1906026995914163,0.1,1.0,0.7,0.0,0,0
0.9640682339668274,0.39,0.19124917852283058,0.1,1.0,0.7,0.0,0,0
0.9493270516395569,0.38,0.1897148407062055,0.1,1.0,0.7,0.0,0,0
0.9235490560531616,0.37,0.18555744527995288,0.1,1.0,0.7,0.0,0,0
0.9357619285583496,0.36,0.1863291325545515,0.1,1.0,0.7,0.0,0,0
0.9336612820625305,0.35,0.18465469469629694,0.1,1.0,0.7,0.0,0,0
0.9517449736595154,0.33999999999999997,0.18592217842620196,0.1,1.0,0.7,0.0,0,0
0.9379726052284241,0.32999999999999996,0.1845124782863694,0.1,1.0,0.7,0.0,0,0
0.9202899932861328,0.31999999999999995,0.1826895181186471,0.1,1.0,0.7,0.0,0,0
0.9323940873146057,0.30999999999999994,0.18296041330772864,0.1,1.0,0.7,0.0,0,0
0.9582176804542542,0.29999999999999993,0.18731595706040743,0.1,1.0,0.7,0.0,0,0
0.9512767791748047,0.29000000000000004,0.18871484156592624,0.1,1.0,0.7,0.0,0,0
0.9384595155715942,0.28,0.1889626343989808,0.1,1.0,0.7,0.0,0,0
0.9312700033187866,0.27,0.18963246598975675,0.1,1.0,0.7,0.0,0,0
0.9158928394317627,0.26,0.18633137054250704,0.1,1.0,0.7,0.0,0,0
0.9042209982872009,0.25,0.18424257780285722,0.1,1.0,0.7,0.0,0,0
0.8831541538238525,0.24,0.17966499147531922,0.1,1.0,0.7,0.0,0,0
0.8975265026092529,0.22999999999999998,0.1827908672180689,0.1,1.0,0.7,0.0,0,0
0.916924774646759,0.21999999999999997,0.1855949400928471,0.1,1.0,0.7,0.0,0,0
0.9292069673538208,0.20999999999999996,0.18631610916399197,0.1,1.0,0.7,0.0,0,0
0.9270197153091431,0.19999999999999996,0.18655869234594746,0.1,1.0,0.7,0.0,0,0
0.913877546787262,0.18999999999999995,0.18367722290549146,0.1,1.0,0.7,0.0,0,0
0.9033659100532532,0.17999999999999994,0.1832656966666539,0.1,1.0,0.7,0.0,0,0
0.9198454022407532,0.16999999999999993,0.18657082262911817,0.1,1.0,0.7,0.0,0,0
0.9167456030845642,0.16000000000000003,0.1868068271391854,0.1,1.0,0.7,0.0,0,0
0.8953515887260437,0.15000000000000002,0.18574571381641736,0.1,1.0,0.7,0.0,0,0
0.880668580532074,0.14,0.18249958548758127,0.1,1.0,0.7,0.0,0,0
0.8908100128173828,0.13,0.18502685172333547,0.1,1.0,0.7,0.0,0,0
0.8901484608650208,0.12,0.1848879786722467,0.1,1.0,0.7,0.0,0,0
0.8755604028701782,0.10999999999999999,0.18165926870704807,0.1,1.0,0.7,0.0,0,0
