log(S/K),ttm,sigma,pathwise_delta,call_payoff,call_true,digital_payoff,digital_true,true_d_log(S/K),true_d_ttm,true_d2_log(S/K),path
0.09943619,0.36005202,0.36005202,2.1879092240374263,0.47915830210327925,0.20823997,1,0.5382976,0.74653757,0.39710262,1.849441,143
-0.036751494,0.31724182,0.31724182,4.766996776936367,1.1833454123301115,0.10653883,1,0.39186257,0.49840122,0.38419506,1.7094493,144
-0.32304034,0.20797856,0.20797856,0.0,0.0,0.0045702197,0,0.048736706,0.053306855,0.101049796,0.53917354,145
-0.23349495,1.7634197,1.7634197,1.820638550425656,0.34931034581524956,0.4568969,1,0.15526275,0.61215967,0.2385543,0.747439,146
0.028658034,0.5508764,0.5508764,2.5359194753492034,0.592457040255095,0.23500177,1,0.41160604,0.6466078,0.38910902,1.3529532,147
-0.0846867,2.4452438,2.4452438,0.0,0.0,0.7065849,0,0.104330644,0.8109155,0.1809954,0.8849349,148
-0.6631865,2.7069628,2.7069628,0.0,0.0,0.39129043,0,0.054968745,0.44625917,0.111191824,0.48733538,149
0.45233667,0.9479837,0.9479837,0.0,0.0,0.80227995,0,0.50126255,1.3035425,0.39894032,1.7243727,150
0.54919547,0.57695264,0.57695264,9.525489875387905,2.086339376592794,0.7993556,1,0.74646723,1.5458229,0.32013986,2.1007035,151
-0.49872065,1.2878745,1.2878745,0.0,0.0,0.21394108,0,0.15122814,0.36516926,0.23442842,0.5471966,152
0.07491,2.6565535,2.6565535,0.0,0.0,0.8867217,0,0.09678705,0.9835087,0.1713511,1.04801,153
-0.54262924,1.2594756,1.2594756,1.1962661148218103,0.09373953199530516,0.19198474,1,0.14444152,0.33642623,0.22733092,0.5169227,154
0.23877548,0.41417527,0.41417527,0.0,0.0,0.35053575,0,0.6440929,0.99462867,0.37262812,1.8943157,155
-0.30327436,2.9555376,2.9555376,0.0,0.0,0.6189615,0,0.057009812,0.6759713,0.11443588,0.71469045,156
0.2210067,1.5490589,1.5490589,0.0,0.0,0.75967276,0,0.26373985,1.0234126,0.32674974,1.2343469,157
0.31468135,1.0928773,1.0928773,0.0,0.0,0.69506127,0,0.39801043,1.0930717,0.38583335,1.4461153,158
0.3724245,2.6915002,2.6915002,0.0,0.0,1.2376316,0,0.11364305,1.3512746,0.19246882,1.4227844,159
-0.5437865,2.7894702,2.7894702,0.0,0.0,0.45776546,0,0.055953745,0.5137192,0.11276198,0.5541433,160
0.5767149,1.540733,1.540733,0.0,0.0,1.2095406,0,0.34603244,1.5555731,0.36884898,1.7949713,161
-0.3740028,0.9894775,0.9894775,0.0,0.0,0.18455249,0,0.19140819,0.37596068,0.27259785,0.6514575,162
-0.6412824,1.4996381,1.4996381,0.0,0.0,0.21033566,0,0.119509265,0.3298449,0.1994632,0.46285248,163
0.07604167,0.7359177,0.7359177,0.0,0.0,0.3394615,0,0.39564735,0.73510885,0.38521528,1.2585577,164
-0.17893972,1.4868904,1.4868904,0.0,0.0,0.41937768,0,0.19385159,0.6132293,0.27471936,0.79799026,165
0.45718566,0.7653502,0.7653502,8.338199019920523,1.8875939493118628,0.7363061,1,0.58499146,1.3212975,0.38985428,1.8306779,166
0.42732728,1.904388,1.904388,0.0,0.0,1.1162984,0,0.23336706,1.3496655,0.30611724,1.5104085,167
-0.25349933,2.3036785,2.3036785,39.96036531006234,5.321421484411479,0.5571403,1,0.103495955,0.66063625,0.17994401,0.73874784,168
0.6278519,2.9113405,2.9113405,0.0,0.0,1.6774225,0,0.10748535,1.7849078,0.18493435,1.8484298,169
-0.28984943,2.5434544,2.5434544,0.0,0.0,0.57304585,0,0.08292141,0.65596724,0.15274255,0.7160204,170
0.020873614,0.34979105,0.34979105,0.0,0.0,0.1510962,0,0.45413497,0.60523117,0.39630294,1.7382016,171
-0.33830422,0.71341634,0.71341634,0.0,0.0,0.120134175,0,0.20301184,0.32314605,0.2824807,0.7191009,172
0.60448474,1.6419064,1.6419064,20527.260403636843,142.2733862657411,1.2904522,1,0.32534894,1.6158012,0.36007273,1.835103,173
-0.4649523,0.8470139,0.8470139,0.0,0.0,0.11731684,0,0.16541639,0.28273323,0.24863823,0.5762801,174
-0.63088787,0.1416591,0.1416591,0.0,0.0,8.9746436e-08,0,3.0284377e-06,3.1182933e-06,1.4318255e-05,0.00010419374,175
-0.08997458,2.2888937,2.2888937,0.0,0.0,0.67272705,0,0.118254855,0.7909819,0.1979823,0.87747884,176
0.6825775,1.1375388,1.1375388,15.51226996893297,2.938561846142709,1.2265677,1,0.5124762,1.739044,0.39874718,2.089579,177
0.54298,0.29169008,0.29169008,0.0,0.0,0.7257624,0,0.95688707,1.6826495,0.09156849,1.9965733,178
0.3446439,1.5756257,1.5756257,76.36485950215501,7.7386989712538075,0.90512466,1,0.28465152,1.1897762,0.33930242,1.4051207,179
0.5417534,2.9339054,2.9339054,0.0,0.0,1.534389,0,0.099868745,1.6342578,0.17533004,1.6940178,180
0.54543287,2.067762,2.067762,0.0,0.0,1.3370272,0,0.22061983,1.557647,0.29657155,1.7010734,181
0.026143238,0.5604217,0.5604217,2.118446261781642,0.4554883448935563,0.23708794,1,0.40766266,0.6447505,0.38820797,1.3374575,182
-0.2551765,1.5914572,1.5914572,0.0,0.0,0.40181348,0,0.16951844,0.5713319,0.25259358,0.7300503,183
0.3770893,2.7149951,2.7149951,0.0,0.0,1.2484467,0,0.111496866,1.3599435,0.18986554,1.4298757,184
0.2241101,0.25730664,0.25730664,0.0,0.0,0.28153157,0,0.77105665,1.0525882,0.30286556,2.229649,185
